Date,2015-01-06,
Name,Code,Market Value,Index value,
Locus Non- US Large Cap Index (PR),LNULP,96248.2914864,962.48,
Locus Non- US Large Cap Index TR,LNULT,96256.4551683,962.56,
Locus US Mid Cap Index (PR),LUMP,96872.4939525,968.72,
Locus Global Financial Products & Services PR,LGFSP,96859.4436709,968.59,
Locus US Mid Cap Index (TR),LUMT,96874.7677059,968.75,
Locus Global Financial Products & Services TR,LGFST,96867.5123852,968.68,
Locus US Large Cap Index (PR),LULP,97022.182354,970.22,
Locus US Large Cap Index (TR),LULT,97030.4568146,970.30,
Locus US Core Index (PR),LUCP,96961.3263194,969.61,
Locus US Core Index (TR),LUCT,96966.3317573,969.66,
Locus Global Large Cap Index (PR),LGLP,96730.9588579,967.31,
Locus Global Large Cap Index (TR),LGLT,96738.6750153,967.39,
Locus Global Energy Products & Services PR,LGESP,94666.9107486,946.67,
Locus Global Energy Products & Services TR,LGEST,94677.8659352,946.78,
Locus Global Industrial Products & Services PR,LGISP,96697.3775427,966.97,
Locus Global Industrial Products & Services TR,LGIST,96700.0871513,967.00,
Locus Global Core Index (PR),LGCP,96707.8027633,967.08,
Locus Global Core Index (TR),LGCT,96714.0882701,967.14,
Locus Global Information Tools PR,LGITP,96298.3674652,962.98,
Locus US Financial Products & Services Index (PR),LUFP,97167.3638972,971.67,
Syntax Cap Weighted US Mid Cap Index(PR),SWUMP,97296.0277078,972.96,
Locus Global Information Tools TR,LGITT,96307.0014553,963.07,
Locus US Financial Products & Services Index (TR),LUFT,97177.4515586,971.77,
Syntax Cap Weighted US Mid Cap Index(TR),SWUMT,97299.7234021,973.00,
Locus US Energy Products & Services Index (PR),LUEP,95370.984275,953.71,
Syntax Cap Weighted US Large Cap Index(PR),SWULP,97237.7952689,972.38,
Syntax Cap Weighted US Large Cap Index(TR),SWULT,97256.3685225,972.56,
Locus US Energy Products & Services Index (TR),LUET,95373.6150836,953.74,
Syntax Cap Weighted US Core Index(PR),SWUCP,97242.3325552,972.42,
Locus Global Information Products & Services PR,LGIPP,96597.2889361,965.97,
Syntax Cap Weighted US Core Index(TR),SWUCT,97259.7465968,972.60,
Syntax Cap Weighted US Financial Products & Services Index(PR),SWUFP,96562.1076696,965.62,
Locus Global Information Products & Services TR,LGIPT,96605.0120289,966.05,
Syntax Cap Weighted US Financial Products & Services Index(TR),SWUFT,96606.9050883,966.07,
Syntax Cap Weighted US Energy Products & Services Index(PR),SWUEP,96277.2870597,962.77,
Locus Global Consumer Products & Services PR,LGCSP,96659.3235716,966.59,
Locus US Industrial Products & Services Index (PR),LUIPSP,96105.5444616,961.06,
Syntax Cap Weighted US Energy Products & Services Index(TR),SWUET,96277.9516779,962.78,
Locus Global Consumer Products & Services TR,LGCST,96662.1543466,966.62,
Syntax Cap Weighted US Industrial Products & Services Index(PR),SWUIP,96439.7463897,964.40,
Locus US Industrial Products & Services Index (TR),LUIPST,96110.7043121,961.11,
Syntax Cap Weighted US Industrial Products & Services Index(TR),SWUIT,96447.9327933,964.48,
Locus Global Food Products & Services PR,LGFPP,97243.1449686,972.43,
Syntax Cap Weighted US Information Tools Products & Services Index(PR),SWUITP,96764.1040722,967.64,
Locus Global Food Products & Services TR,LGFPT,97252.5076559,972.53,
Locus US Information Tools Index (PR),LUITP,96376.0887784,963.76,
Syntax Cap Weighted US Information Tools Products & Services Index(TR),SWUITT,96818.2023954,968.18,
Locus US Information Tools Index (TR),LUITT,96387.3478649,963.87,
Syntax Cap Weighted US Information Products & Services Index(PR),SWUISP,96830.1845973,968.30,
Locus Global Healthcare Products & Services PR,LGHSP,98640.5652026,986.41,
Locus US Information Products & Services Index (PR),LUISP,96839.506215,968.40,
Syntax Cap Weighted US Information Products & Services Index(TR),SWUIST,96845.3600817,968.45,
Locus US Information Products & Services Index (TR),LUIST,96842.3471058,968.42,
Syntax Cap Weighted US Consumer Products & Services Index(PR),SWUCSP,96909.1330268,969.09,
Syntax Cap Weighted US Consumer Products & Services Index(TR),SWUCST,96913.2441299,969.13,
Locus Global Healthcare Products & Services TR,LGHST,98640.5652026,986.41,
Syntax Cap Weighted US Food Products & Services Index(PR),SWUFSP,98902.4492107,989.02,
Syntax Cap Weighted US Food Products & Services Index(TR),SWUFST,98902.4492107,989.02,
Syntax Cap Weighted US Healthcare Products & Services Index(PR),SWUHSP,99599.3661994,995.99,
Locus US Consumer Products & Services Index (PR),LUCSP,96572.7848153,965.73,
Syntax Cap Weighted US Healthcare Products & Services Index(TR),SWUHST,99599.3661994,995.99,
Locus US Consumer Products & Services Index (TR),LUCST,96580.8500204,965.81,
Locus US Food Products & Services Index (PR),LUFSP,98205.7341404,982.06,
Locus US Food Products & Services Index (TR),LUFST,98205.7341404,982.06,
Locus US Healthcare Products & Services Index (PR),LUHP,99052.6039724,990.53,
Locus US Healthcare Products & Services Index (TR),LUHT,99052.6039724,990.53,
Syntax US Mid Cap Index (PR),SUMP,96872.4939525,968.72,
Syntax US Mid Cap Index (TR),SUMT,96874.7677059,968.75,
Syntax US Large Cap Index (PR),SULP,97022.182354,970.22,
Syntax US Large Cap Index (TR),SULT,97030.4568146,970.30,
Syntax US Core Index (PR),SUCP,96961.3263194,969.61,
Syntax US Core Index (TR),SUCT,96966.3317573,969.66,
Syntax US Financial Products & Services Index (PR),SUFSP,97167.3638972,971.67,
Syntax US Financial Products & Services Index (TR),SUFST,97177.4515586,971.77,
Syntax US Energy Products & Services Index (TR),SUEST,95373.6150836,953.74,
Syntax US Industrial Products & Services Index (PR),SUISP,96105.5444616,961.06,
Syntax US Industrial Products & Services Index (TR),SUIST,96110.7043121,961.11,
Syntax US Information Tools Index (PR),SUITP,96376.0887784,963.76,
Syntax US Information Tools Index (TR),SUITT,96387.3478649,963.87,
Syntax US Information Products & Services Index (PR),SUIPP,96839.506215,968.40,
Syntax US Information Products & Services Index (TR),SUIPT,96842.3471058,968.42,
Syntax US Consumer Products & Services Index (PR),SUCSP,96572.7848153,965.73,
Syntax US Consumer Products & Services Index (TR),SUCST,96580.8500204,965.81,
Syntax US Food Products & Services Index (PR),SUFPP,98205.7341404,982.06,
Syntax US Healthcare Products & Services Index (PR),SUHPP,99052.6039724,990.53,
Syntax US Healthcare Products & Services Index (TR),SUHPT,99052.6039724,990.53,
Syntax US Food Products & Services Index (TR),SUFPT,98205.7341404,982.06,
Syntax US Energy Products & Services Index (PR),SUESP,95370.984275,953.71,
