ticker,isin,localcurrency,localprice,convertedprice,currencyfactor
"SID US Equity",US20440W1053,USD,1.99,1.99,1
"5411 JP Equity",JP3386030005,JPY,2562.5,21.6171756369,118.540000
"5401 JP Equity",JP3381000003,JPY,288,2.42955964231,118.540000
"005490 KS Equity",KR7005490008,KRW,275000,250.307195194,1098.650000
"SSABA SS Equity",SE0000171100,SEK,44.3,5.59824091392,7.913200
"IPL AU Equity",AU000000IPL1,AUD,3.43,2.77620396601,1.235500
"ORI AU Equity",AU000000ORI1,AUD,18.76,15.1841359773,1.235500
"POT CN Equity",CA73755L1076,CAD,41.7,35.2523459295,1.182900
"SQM US Equity",US8336351056,USD,23.53,23.53,1
"SDF GR Equity",DE000KSAG888,EUR,22.87,27.2002854424,.840800
"YAR NO Equity",NO0010208051,NOK,350.5,45.2707851672,7.742300
"SOLB BB Equity",BE0003470755,EUR,105.9,125.951474786,.840800
"AKE FP Equity",FR0010313833,EUR,51.87,61.691246432,.840800
"BAS GR Equity",DE000BASF111,EUR,67.02,79.7098001903,.840800
"4183 JP Equity",JP3888300005,JPY,330,2.78387042349,118.540000
"4005 JP Equity",JP3401400001,JPY,458,3.86367470896,118.540000
"4188 JP Equity",JP3897700005,JPY,569.5,4.80428547326,118.540000
"3407 JP Equity",JP3111200006,JPY,1064.5,8.98009110849,118.540000
"DSM NA Equity",NL0000009827,EUR,48.29,57.433396765,.840800
"051910 KS Equity",KR7051910008,KRW,166000,151.094525099,1098.650000
"1326 TT Equity",TW0001326007,TWD,63.5,1.98499531103,31.990000
"1301 TT Equity",TW0001301000,TWD,69,2.15692403876,31.990000
"FMG AU Equity",AU000000FMG4,AUD,2.79,2.25819506273,1.235500
"CBA AU Equity",AU000000CBA7,AUD,85.3,69.04087414,1.235500
"CCO CN Equity",CA13321L1085,CAD,18.72,15.8255135683,1.182900
"FM CN Equity",CA3359341052,CAD,16.27,13.7543325725,1.182900
"BP IM Equity",IT0005002883,EUR,9.39,11.1679352997,.840800
"ISP IM Equity",IT0000072618,EUR,2.28,2.71170313987,.840800
"5713 JP Equity",JP3402600005,JPY,1726,14.5604859119,118.540000
"ORK NO Equity",NO0003733800,NOK,49.8,6.43219715072,7.742300
"NHY NO Equity",NO0005052605,NOK,41.39,5.34595662788,7.742300
"SAB SM Equity",ES0113860A34,EUR,2.15,2.55708848716,.840800
"BOL SS Equity",SE0000869646,SEK,127.4,16.0996815448,7.913200
"SWEDA SS Equity",SE0000242455,SEK,193.3,24.4275387959,7.913200
"PFG LN Equity",GB00B1Z4ST84,GBp,2441,36.9960594119,.659800
"ANTO LN Equity",GB0000456144,GBp,717.5,10.8745074265,.659800
"SCCO US Equity",US84265V1052,USD,27.07,27.07,1
"LXS GR Equity",DE0005470405,EUR,35.37,42.0670789724,.840800
"4185 JP Equity",JP3385980002,JPY,1987,16.7622743378,118.540000
"3405 JP Equity",JP3269600007,JPY,1335,11.2620212586,118.540000
"3402 JP Equity",JP3621000003,JPY,935.3,7.89016365784,118.540000
"1303 TT Equity",TW0001303006,TWD,61.8,1.93185370428,31.990000
"BHP AU Equity",AU000000BHP4,AUD,28.11,22.7519222987,1.235500
"BLT LN Equity",GB0000566504,GBp,1324.5,20.0742649288,.659800
"VALE/P US Equity",US91912E2046,USD,7.25,7.25,1
"TCK/B CN Equity",CA8787422044,CAD,15.58,13.1710203737,1.182900
"GLEN LN Equity",JE00B4T3BW64,GBp,284.1,4.30585025765,.659800
"AAL LN Equity",GB00B1XZS820,GBp,1155,17.5053046378,.659800
"RIO AU Equity",AU000000RIO1,AUD,57.59,46.6127074059,1.235500
"RIO LN Equity",GB0007188757,GBp,2944.5,44.6271597454,.659800
"BELG BB Equity",BE0003810273,EUR,29.43,35.002378687,.840800
"ORA FP Equity",FR0000133308,EUR,13.37,15.9015223597,.840800
"DTE GR Equity",DE0005557508,EUR,12.68,15.0808753568,.840800
"SESG FP Equity",LU0088087324,EUR,30.22,35.9419600381,.840800
"KPN NA Equity",NL0000009082,EUR,2.52,2.99714557564,.840800
"TEL NO Equity",NO0010063308,NOK,151.6,19.5807447399,7.742300
"PTC PL Equity",PTPTC0AM0009,EUR,0.81,0.963368220742,.840800
"TEF SM Equity",ES0178430E18,EUR,11.37,13.5228353949,.840800
"TEL2B SS Equity",SE0005190238,SEK,94.8,11.9799828135,7.913200
"KINVB SS Equity",SE0000164626,SEK,255.1,32.2372744275,7.913200
"TLSN SS Equity",SE0000667925,SEK,49.84,6.29833695597,7.913200
"SCMN VX Equity",CH0008742519,CHF,501.5,496.632996633,1.009800
"BT/A LN Equity",GB0030913577,GBp,385.9,5.84874204304,.659800
"VOD LN Equity",GB00BH4HKS39,GBp,215.35,3.26386783874,.659800
"2002 TT Equity",TW0002002003,TWD,26.05,0.814316974054,31.990000
"MT NA Equity",LU0323134006,EUR,8.67,10.3116079924,.840800
"NAB AU Equity",AU000000NAB4,AUD,33.34,26.9850263051,1.235500
"KBC BB Equity",BE0003565737,EUR,45.08,53.6156041865,.840800
"ITSA4 BZ Equity",BRITSAACNPR7,BRL,9.27,3.43231635071,2.700800
"CM CN Equity",CA1360691010,CAD,95.72,80.9197734382,1.182900
"BSAC US Equity",US05965X1090,USD,19.36,19.36,1
"CHILE CI Equity",CLP0939W1081,CLP,69.28,0.112352626372,616.630000
"1398 HK Equity",CNE1000003G1,HKD,5.71,0.736346637436,7.754500
"CIB US Equity",US05968L1026,USD,45.91,45.91,1
"BKIR ID Equity",IE0030606259,EUR,0.3,0.356803044719,.840800
"BMPS IM Equity",IT0004984842,EUR,0.46,0.547098001903,.840800
"8303 JP Equity",JP3729000004,JPY,205,1.72937405095,118.540000
"8591 JP Equity",JP3200450009,JPY,1437,12.1224902986,118.540000
"8316 JP Equity",JP3890350006,JPY,4208.5,35.5027838704,118.540000
"DNB NO Equity",NO0010031479,NOK,106.5,13.7556023404,7.742300
"BAP US Equity",BMG2519Y1084,USD,154.78,154.78,1
"UOB SP Equity",SG1M31001969,SGD,23.32,17.4996247936,1.332600
"OCBC SP Equity",SG1S04926220,SGD,10.16,7.62419330632,1.332600
"105560 KS Equity",KR7105560007,KRW,35300,32.1303417831,1098.650000
"055550 KS Equity",KR7055550008,KRW,43550,39.6395576389,1098.650000
"SAN SM Equity",ES0113900J37,EUR,6.59,7.837773549,.840800
"SEBA SS Equity",SE0000148884,SEK,98.15,12.4033260881,7.913200
"2881 TT Equity",TW0002881000,TWD,48.5,1.51609878087,31.990000
"STAN LN Equity",GB0004082847,GBp,947.1,14.354349803,.659800
"NCM AU Equity",AU000000NCM7,AUD,11.73,9.49413193039,1.235500
"UMI BB Equity",BE0003884047,EUR,32.18,38.2730732636,.840800
"K CN Equity",CA4969024047,CAD,3.95,3.33925099332,1.182900
"YRI CN Equity",CA98462Y1007,CAD,5.29,4.47206019106,1.182900
"ELD CN Equity",CA2849021035,CAD,8.23,6.95747738609,1.182900
"AEM CN Equity",CA0084741085,CAD,34.3,28.996533942,1.182900
"SLW CN Equity",CA8283361076,CAD,25.81,21.8192577564,1.182900
"ABX CN Equity",CA0679011084,CAD,13.31,11.2520077775,1.182900
"G CN Equity",CA3809564097,CAD,24,20.2891199594,1.182900
"RRS LN Equity",GB00B01C3S32,GBp,4757,72.0976053349,.659800
"BVN US Equity",US2044481040,USD,10.65,10.65,1
"AMP AU Equity",AU000000AMP6,AUD,5.46,4.41926345609,1.235500
"POW CN Equity",CA7392391016,CAD,30.47,25.7587285485,1.182900
"MFC CN Equity",CA56501R1064,CAD,21.12,17.8544255643,1.182900
"2628 HK Equity",CNE1000002L3,HKD,29.7,3.83003417371,7.754500
"8750 JP Equity",JP3476480003,JPY,1722,14.526742028,118.540000
"AGN NA Equity",NL0000303709,EUR,5.94,7.06470028544,.840800
"SLHN VX Equity",CH0014852781,CHF,231.9,229.649435532,1.009800
"2882 TT Equity",TW0002882008,TWD,44.95,1.40512660206,31.990000
"OML LN Equity",GB00B77J0862,GBp,185.1,2.80539557442,.659800
"SL/ LN Equity",GB00B16KPT44,GBp,382.1,5.79114883298,.659800
